description;link_page;link_pdf;name_pdf;date_save_pdf;pdf_ok
Despacho (extrato) n.º 6848/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6848-2023-214926219;https://files.diariodarepublica.pt/2s/2023/06/124000000/0008600086.pdf;despacho_6848-2023_dr_124-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6531/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6531-2023-214476389;https://files.diariodarepublica.pt/2s/2023/06/116000000/0004400044.pdf;despacho_6531-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6530/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6530-2023-214476388;https://files.diariodarepublica.pt/2s/2023/06/116000000/0004300043.pdf;despacho_6530-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6529/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6529-2023-214476387;https://files.diariodarepublica.pt/2s/2023/06/116000000/0004100042.pdf;despacho_6529-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6528/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6528-2023-214476386;https://files.diariodarepublica.pt/2s/2023/06/116000000/0004000040.pdf;despacho_6528-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6527/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6527-2023-214476385;https://files.diariodarepublica.pt/2s/2023/06/116000000/0003900039.pdf;despacho_6527-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6526/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6526-2023-214476384;https://files.diariodarepublica.pt/2s/2023/06/116000000/0003800038.pdf;despacho_6526-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6525/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6525-2023-214476383;https://files.diariodarepublica.pt/2s/2023/06/116000000/0003700037.pdf;despacho_6525-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6573/2023 - Diário da República n.º 117/2023, Série II de 2023-06-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6573-2023-214455662;https://files.diariodarepublica.pt/2s/2023/06/117000000/0003800038.pdf;despacho_6573-2023_dr_117-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6572/2023 - Diário da República n.º 117/2023, Série II de 2023-06-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6572-2023-214455661;https://files.diariodarepublica.pt/2s/2023/06/117000000/0003700037.pdf;despacho_6572-2023_dr_117-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6571/2023 - Diário da República n.º 117/2023, Série II de 2023-06-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6571-2023-214455660;https://files.diariodarepublica.pt/2s/2023/06/117000000/0003600036.pdf;despacho_6571-2023_dr_117-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 10622/2023 - Diário da República n.º 201/2023, Série II de 2023-10-17;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/10622-2023-222882945;https://files.diariodarepublica.pt/2s/2023/10/201000000/0006300063.pdf;despacho_10622-2023_dr_201-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 10617/2023 - Diário da República n.º 201/2023, Série II de 2023-10-17;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/10617-2023-222882940;https://files.diariodarepublica.pt/2s/2023/10/201000000/0005800058.pdf;despacho_10617-2023_dr_201-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 10408/2023 - Diário da República n.º 197/2023, Série II de 2023-10-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/10408-2023-222644717;https://files.diariodarepublica.pt/2s/2023/10/197000000/0006300063.pdf;despacho_10408-2023_dr_197-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 10404/2023 - Diário da República n.º 197/2023, Série II de 2023-10-11;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/10404-2023-222644713;https://files.diariodarepublica.pt/2s/2023/10/197000000/0005900059.pdf;despacho_10404-2023_dr_197-2023.pdf;01/11/2023 00:10;True
